"State","Turnout_2024"
"Alabama",55.8011710676051
"Alaska",62
"Arizona",48.352417002182
"Arkansas",54.3050546084598
"California",49.2906182959297
"Colorado",58.2783504378451
"Connecticut",60.1181619500321
"Delaware",56.4031658514466
"Florida",54.2271267923339
"Georgia",49.1934653373416
"Hawaii",46.9688182831005
"Idaho",62.253533417102
"Illinois",56.20459762921
"Indiana",56.9417444835621
"Iowa",64.5823909239803
"Kansas",60.6100886328364
"Kentucky",55.0394368349985
"Louisiana",60.9657211437337
"Maine",40.5497889243648
"Maryland",54.7788433419026
"Massachusetts",59.0513840924081
"Michigan",58.2488853272474
"Minnesota",67.9713599524337
"Mississippi",52.6838758471513
"Missouri",58.7550501874916
"Montana",69.4313452108942
"Nebraska",59.5584750285304
"Nevada",43.0733471484727
"New Hampshire",61.6985824518624
"New Jersey",57.4241926915531
"New Mexico",50.2164341293692
"New York",52.9118336658147
"North Carolina",49.6238155228128
"North Dakota",60.6729927942588
"Ohio",59.3690504610043
"Oklahoma",57.0048245768126
"Oregon",60.9627751869794
"Pennsylvania",56.6958904767576
"Rhode Island",57.3496269209245
"South Carolina",48.3998175632789
"South Dakota",69.0349036953847
"Tennessee",54.2034987528974
"Texas",48.2409284764431
"Utah",56.2313243897585
"Vermont",65.4650795440534
"Virginia",55.1977219941448
"Washington",59.504066612408
"West Virginia",53.4376752870167
"Wisconsin",61.0910020305038
"Wyoming",65.7303728278327
